model,features,n_feats,f1_macro,accuracy
naive_bayes,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,5,0.4895833333333333,0.5789473684210527
random_forest,tfidf_cos + dice_sim + ner_jaccard,3,0.4895833333333333,0.5789473684210527
random_forest,dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.4880952380952381,0.5789473684210527
gradient_boosting,jaccard_sim + dice_sim,2,0.4880952380952381,0.5789473684210527
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + semantic_sim,5,0.4880952380952381,0.5789473684210527
random_forest,jaccard_sim + dice_sim + ner_jaccard + semantic_sim,4,0.4880952380952381,0.5789473684210527
random_forest,dice_sim + ner_jaccard + ner_jaccard_person,3,0.4880952380952381,0.5789473684210527
gradient_boosting,jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org,4,0.4880952380952381,0.5789473684210527
random_forest,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,5,0.4873015873015873,0.5789473684210527
random_forest,tfidf_cos + ner_jaccard + ner_jaccard_org,3,0.4873015873015873,0.5789473684210527
gradient_boosting,tfidf_cos + ner_jaccard + ner_jaccard_person + ner_jaccard_org,4,0.4873015873015873,0.5789473684210527
random_forest,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.4873015873015873,0.5789473684210527
random_forest,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.48660714285714285,0.5789473684210527
random_forest,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person + semantic_sim,5,0.48660714285714285,0.5789473684210527
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,6,0.48660714285714285,0.5789473684210527
random_forest,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,7,0.48660714285714285,0.5789473684210527
gradient_boosting,ner_jaccard + semantic_sim,2,0.48611111111111116,0.5263157894736842
random_forest,jaccard_sim + ner_jaccard_org + semantic_sim,3,0.48611111111111105,0.5789473684210527
naive_bayes,jaccard_sim + ner_jaccard + ner_jaccard_person,3,0.48564425770308123,0.5789473684210527
random_forest,dice_sim + ner_jaccard + semantic_sim,3,0.48462301587301587,0.5789473684210527
random_forest,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person,4,0.4846230158730158,0.5789473684210527
random_forest,tfidf_cos + ner_jaccard + semantic_sim,3,0.4846230158730158,0.5789473684210527
random_forest,tfidf_cos + jaccard_sim + ner_jaccard,3,0.4846230158730158,0.5789473684210527
random_forest,tfidf_cos + jaccard_sim + ner_jaccard + semantic_sim,4,0.4846230158730158,0.5789473684210527
random_forest,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_org,4,0.4846230158730158,0.5789473684210527
random_forest,tfidf_cos + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.4846230158730158,0.5789473684210527
random_forest,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_org + semantic_sim,5,0.4846230158730158,0.5789473684210527
random_forest,tfidf_cos + ner_jaccard,2,0.4846230158730158,0.5789473684210527
gradient_boosting,ner_jaccard + ner_jaccard_person,2,0.47619047619047616,0.5789473684210527
random_forest,dice_sim + ner_jaccard + ner_jaccard_org,3,0.47619047619047616,0.5789473684210527
naive_bayes,dice_sim + ner_jaccard_person + semantic_sim,3,0.47619047619047616,0.5789473684210527
gradient_boosting,ner_jaccard,1,0.47619047619047616,0.5789473684210527
logistic_regression,dice_sim + ner_jaccard + semantic_sim,3,0.4758771929824561,0.5789473684210527
logistic_regression,dice_sim + ner_jaccard,2,0.4758771929824561,0.5789473684210527
naive_bayes,jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org,4,0.4714285714285714,0.5789473684210527
naive_bayes,jaccard_sim + ner_jaccard_org,2,0.4696969696969696,0.5263157894736842
gradient_boosting,dice_sim + ner_jaccard_org,2,0.46944444444444444,0.5789473684210527
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org + semantic_sim,6,0.4642857142857143,0.5263157894736842
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,7,0.4642857142857143,0.5263157894736842
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard,4,0.4642857142857143,0.5263157894736842
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + semantic_sim,4,0.4642857142857143,0.5263157894736842
naive_bayes,jaccard_sim + dice_sim + ner_jaccard_person,3,0.4625,0.5789473684210527
random_forest,ner_jaccard + ner_jaccard_person + ner_jaccard_org,3,0.4623015873015873,0.5789473684210527
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_org,5,0.46011904761904765,0.5263157894736842
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,6,0.46011904761904765,0.5263157894736842
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim,3,0.4599567099567099,0.5263157894736842
gradient_boosting,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person,4,0.4599567099567099,0.5263157894736842
random_forest,ner_jaccard,1,0.4598039215686275,0.5263157894736842
gradient_boosting,ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.45904095904095904,0.47368421052631576
naive_bayes,jaccard_sim + ner_jaccard + semantic_sim,3,0.458974358974359,0.5263157894736842
gradient_boosting,ner_jaccard + ner_jaccard_org,2,0.45892857142857146,0.5789473684210527
gradient_boosting,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person,4,0.4583333333333333,0.5263157894736842
naive_bayes,jaccard_sim + dice_sim + ner_jaccard_org + semantic_sim,4,0.45555555555555555,0.5789473684210527
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + semantic_sim,4,0.45555555555555555,0.5789473684210527
naive_bayes,tfidf_cos + jaccard_sim + dice_sim,3,0.45555555555555555,0.5789473684210527
naive_bayes,tfidf_cos + dice_sim + ner_jaccard_person + semantic_sim,4,0.4548611111111111,0.5789473684210527
naive_bayes,jaccard_sim + dice_sim + ner_jaccard + semantic_sim,4,0.45476190476190476,0.5789473684210527
gradient_boosting,tfidf_cos + jaccard_sim + ner_jaccard,3,0.45396825396825397,0.5263157894736842
naive_bayes,dice_sim + ner_jaccard + ner_jaccard_person,3,0.453030303030303,0.5789473684210527
gradient_boosting,tfidf_cos + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.45039682539682535,0.5263157894736842
gradient_boosting,tfidf_cos + dice_sim,2,0.45021645021645024,0.5263157894736842
naive_bayes,ner_jaccard + semantic_sim,2,0.4487394957983193,0.5789473684210527
gradient_boosting,jaccard_sim + ner_jaccard + ner_jaccard_org,3,0.44805194805194803,0.5263157894736842
logistic_regression,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + semantic_sim,5,0.4444444444444444,0.5789473684210527
naive_bayes,tfidf_cos + jaccard_sim + ner_jaccard + semantic_sim,4,0.44375,0.5789473684210527
svm,jaccard_sim + ner_jaccard,2,0.4431390977443609,0.5789473684210527
naive_bayes,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person,4,0.44112554112554114,0.5789473684210527
random_forest,tfidf_cos + ner_jaccard + ner_jaccard_person + semantic_sim,4,0.4409722222222222,0.5789473684210527
svm,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + semantic_sim,5,0.4392156862745098,0.5263157894736842
svm,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.4392156862745098,0.5263157894736842
svm,tfidf_cos + dice_sim + ner_jaccard + semantic_sim,4,0.4392156862745098,0.5263157894736842
svm,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard,4,0.4392156862745098,0.5263157894736842
svm,tfidf_cos + dice_sim + ner_jaccard,3,0.4392156862745098,0.5263157894736842
naive_bayes,tfidf_cos + ner_jaccard,2,0.4392156862745098,0.5263157894736842
svm,tfidf_cos + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.4392156862745098,0.5263157894736842
gradient_boosting,tfidf_cos + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.4365079365079365,0.5263157894736842
naive_bayes,dice_sim + ner_jaccard + semantic_sim,3,0.4365079365079365,0.5263157894736842
gradient_boosting,dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.4365079365079365,0.5263157894736842
svm,dice_sim + ner_jaccard + ner_jaccard_org,3,0.43504901960784315,0.5263157894736842
gradient_boosting,tfidf_cos + dice_sim + ner_jaccard_org,3,0.43472222222222223,0.5263157894736842
random_forest,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person,4,0.43472222222222223,0.5263157894736842
