model,features,n_feats,f1_macro,accuracy
gradient_boosting,tfidf_cos + jaccard_sim + semantic_sim,3,0.2936507936507936,0.3684210526315789
random_forest,ner_jaccard_org + semantic_sim,2,0.29166666666666663,0.42105263157894735
svm,jaccard_sim,1,0.29166666666666663,0.47368421052631576
gradient_boosting,tfidf_cos + semantic_sim,2,0.2901785714285714,0.3684210526315789
naive_bayes,jaccard_sim + semantic_sim,2,0.28888888888888886,0.3157894736842105
naive_bayes,ner_jaccard_org + semantic_sim,2,0.28733766233766234,0.3684210526315789
svm,ner_jaccard_org + semantic_sim,2,0.2861111111111111,0.47368421052631576
logistic_regression,jaccard_sim + dice_sim + semantic_sim,3,0.2861111111111111,0.47368421052631576
logistic_regression,tfidf_cos + jaccard_sim + dice_sim,3,0.28421052631578947,0.47368421052631576
logistic_regression,tfidf_cos + dice_sim,2,0.28421052631578947,0.47368421052631576
naive_bayes,tfidf_cos + ner_jaccard_org + semantic_sim,3,0.2795815295815296,0.3684210526315789
naive_bayes,jaccard_sim + ner_jaccard_person + semantic_sim,3,0.2777777777777778,0.42105263157894735
gradient_boosting,jaccard_sim + dice_sim + ner_jaccard_person + semantic_sim,4,0.2767857142857143,0.3684210526315789
logistic_regression,tfidf_cos,1,0.275,0.47368421052631576
logistic_regression,tfidf_cos + semantic_sim,2,0.275,0.47368421052631576
logistic_regression,tfidf_cos + jaccard_sim,2,0.275,0.47368421052631576
logistic_regression,tfidf_cos + jaccard_sim + semantic_sim,3,0.275,0.47368421052631576
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,7,0.2743055555555556,0.42105263157894735
naive_bayes,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,6,0.2743055555555556,0.42105263157894735
naive_bayes,jaccard_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.2743055555555556,0.3684210526315789
naive_bayes,jaccard_sim,1,0.2720588235294118,0.42105263157894735
gradient_boosting,semantic_sim,1,0.27142857142857146,0.3157894736842105
random_forest,jaccard_sim,1,0.2708333333333333,0.42105263157894735
gradient_boosting,jaccard_sim + ner_jaccard_person + semantic_sim,3,0.26964285714285713,0.3157894736842105
logistic_regression,jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org,4,0.2675438596491228,0.42105263157894735
logistic_regression,jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.2675438596491228,0.42105263157894735
random_forest,jaccard_sim + semantic_sim,2,0.26666666666666666,0.42105263157894735
svm,jaccard_sim + semantic_sim,2,0.26244343891402716,0.42105263157894735
svm,tfidf_cos + dice_sim + ner_jaccard_org,3,0.261437908496732,0.42105263157894735
naive_bayes,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,5,0.261437908496732,0.42105263157894735
gradient_boosting,ner_jaccard_person + ner_jaccard_org,2,0.25980392156862747,0.42105263157894735
gradient_boosting,ner_jaccard_person + ner_jaccard_org + semantic_sim,3,0.2589285714285714,0.3157894736842105
random_forest,tfidf_cos + ner_jaccard_person + semantic_sim,3,0.2569444444444444,0.42105263157894735
svm,tfidf_cos + jaccard_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.25588235294117645,0.42105263157894735
svm,jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org,4,0.25588235294117645,0.42105263157894735
naive_bayes,tfidf_cos + ner_jaccard_person,2,0.25588235294117645,0.42105263157894735
naive_bayes,tfidf_cos + ner_jaccard + ner_jaccard_person,3,0.25588235294117645,0.42105263157894735
naive_bayes,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person,4,0.25588235294117645,0.42105263157894735
logistic_regression,dice_sim + ner_jaccard_person + ner_jaccard_org,3,0.2556390977443609,0.42105263157894735
logistic_regression,dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.2556390977443609,0.42105263157894735
svm,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.25133689839572193,0.42105263157894735
svm,tfidf_cos + jaccard_sim + ner_jaccard_person + ner_jaccard_org,4,0.25133689839572193,0.42105263157894735
svm,tfidf_cos + ner_jaccard_org,2,0.25,0.42105263157894735
random_forest,ner_jaccard_org,1,0.25,0.42105263157894735
gradient_boosting,ner_jaccard_org,1,0.25,0.42105263157894735
random_forest,tfidf_cos + semantic_sim,2,0.25,0.42105263157894735
svm,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person + semantic_sim,5,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + ner_jaccard + ner_jaccard_person + ner_jaccard_org,4,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + dice_sim + ner_jaccard_person + ner_jaccard_org,4,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + dice_sim + ner_jaccard_person,3,0.24754901960784312,0.42105263157894735
svm,dice_sim + ner_jaccard_person + semantic_sim,3,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + ner_jaccard + semantic_sim,3,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + ner_jaccard + ner_jaccard_person,3,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person,4,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + dice_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + ner_jaccard_person + semantic_sim,3,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + ner_jaccard_person + ner_jaccard_org,3,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person,4,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,5,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + ner_jaccard_person,2,0.24754901960784312,0.42105263157894735
svm,jaccard_sim + dice_sim + ner_jaccard_person + semantic_sim,4,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + semantic_sim,5,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,5,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard_person + ner_jaccard_org,5,0.24754901960784312,0.42105263157894735
svm,dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,4,0.24754901960784312,0.42105263157894735
svm,dice_sim + ner_jaccard_person,2,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person,5,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,6,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,6,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,6,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + ner_jaccard + ner_jaccard_person + semantic_sim,4,0.24754901960784312,0.42105263157894735
svm,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person,4,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + dice_sim + ner_jaccard_person + semantic_sim,4,0.24754901960784312,0.42105263157894735
svm,jaccard_sim + dice_sim + ner_jaccard_person,3,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,7,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + jaccard_sim + ner_jaccard_person,3,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,5,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + jaccard_sim + ner_jaccard + semantic_sim,4,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + jaccard_sim + ner_jaccard,3,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + dice_sim + ner_jaccard + ner_jaccard_person,4,0.24754901960784312,0.42105263157894735
svm,tfidf_cos + jaccard_sim + ner_jaccard_person + semantic_sim,4,0.24754901960784312,0.42105263157894735
svm,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + semantic_sim,5,0.24754901960784312,0.42105263157894735
svm,jaccard_sim + dice_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,5,0.24754901960784312,0.42105263157894735
logistic_regression,ner_jaccard + ner_jaccard_person + semantic_sim,3,0.2464285714285714,0.42105263157894735
svm,tfidf_cos + ner_jaccard_org + semantic_sim,3,0.24444444444444446,0.42105263157894735
naive_bayes,jaccard_sim + ner_jaccard + ner_jaccard_person + semantic_sim,4,0.24444444444444446,0.42105263157894735
svm,tfidf_cos + jaccard_sim + semantic_sim,3,0.2398989898989899,0.42105263157894735
random_forest,semantic_sim,1,0.2388888888888889,0.3684210526315789
logistic_regression,ner_jaccard_person + ner_jaccard_org + semantic_sim,3,0.23809523809523808,0.42105263157894735
logistic_regression,jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,5,0.23809523809523808,0.42105263157894735
logistic_regression,jaccard_sim + ner_jaccard_person + ner_jaccard_org,3,0.23809523809523808,0.42105263157894735
logistic_regression,ner_jaccard + ner_jaccard_person,2,0.23809523809523808,0.42105263157894735
logistic_regression,ner_jaccard_person + ner_jaccard_org,2,0.23809523809523808,0.42105263157894735
logistic_regression,jaccard_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.23809523809523808,0.42105263157894735
logistic_regression,ner_jaccard + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.23809523809523808,0.42105263157894735
logistic_regression,jaccard_sim + ner_jaccard + ner_jaccard_person + ner_jaccard_org,4,0.23809523809523808,0.42105263157894735
logistic_regression,ner_jaccard + ner_jaccard_person + ner_jaccard_org,3,0.23809523809523808,0.42105263157894735
gradient_boosting,jaccard_sim + ner_jaccard_person + ner_jaccard_org + semantic_sim,4,0.23796791443850268,0.3684210526315789
naive_bayes,ner_jaccard_person + semantic_sim,2,0.23550724637681159,0.42105263157894735
svm,jaccard_sim + ner_jaccard + ner_jaccard_person,3,0.23421052631578948,0.42105263157894735
svm,ner_jaccard + ner_jaccard_person + semantic_sim,3,0.23421052631578948,0.42105263157894735
svm,jaccard_sim + ner_jaccard + ner_jaccard_person + semantic_sim,4,0.23421052631578948,0.42105263157894735
random_forest,ner_jaccard_person + ner_jaccard_org + semantic_sim,3,0.23202614379084968,0.3684210526315789
svm,jaccard_sim + ner_jaccard_org,2,0.22916666666666666,0.42105263157894735
random_forest,jaccard_sim + ner_jaccard_person + semantic_sim,3,0.22916666666666666,0.3684210526315789
svm,jaccard_sim + ner_jaccard_org + semantic_sim,3,0.22916666666666666,0.42105263157894735
svm,jaccard_sim + ner_jaccard_person + ner_jaccard_org,3,0.22916666666666666,0.42105263157894735
gradient_boosting,jaccard_sim,1,0.22619047619047616,0.3157894736842105
gradient_boosting,jaccard_sim + ner_jaccard_person,2,0.22619047619047616,0.3157894736842105
gradient_boosting,jaccard_sim + ner_jaccard_org + semantic_sim,3,0.22424242424242424,0.3157894736842105
logistic_regression,ner_jaccard_person,1,0.2236024844720497,0.42105263157894735
logistic_regression,jaccard_sim + ner_jaccard_org + semantic_sim,3,0.2236024844720497,0.42105263157894735
logistic_regression,ner_jaccard_org + semantic_sim,2,0.2236024844720497,0.42105263157894735
logistic_regression,ner_jaccard_person + semantic_sim,2,0.2236024844720497,0.42105263157894735
logistic_regression,ner_jaccard_org,1,0.2236024844720497,0.42105263157894735
logistic_regression,jaccard_sim + ner_jaccard_org,2,0.2236024844720497,0.42105263157894735
logistic_regression,jaccard_sim + ner_jaccard_person,2,0.2236024844720497,0.42105263157894735
logistic_regression,jaccard_sim + ner_jaccard_person + semantic_sim,3,0.2236024844720497,0.42105263157894735
naive_bayes,ner_jaccard_person,1,0.2236024844720497,0.42105263157894735
gradient_boosting,ner_jaccard_person + semantic_sim,2,0.21805555555555556,0.2631578947368421
svm,semantic_sim,1,0.1778846153846154,0.2631578947368421
svm,ner_jaccard_person + ner_jaccard_org,2,0.175,0.3684210526315789
random_forest,ner_jaccard_person + ner_jaccard_org,2,0.175,0.3684210526315789
naive_bayes,semantic_sim,1,0.1715686274509804,0.2631578947368421
logistic_regression,jaccard_sim + ner_jaccard + ner_jaccard_person,3,0.16666666666666666,0.3684210526315789
logistic_regression,jaccard_sim + ner_jaccard + ner_jaccard_person + semantic_sim,4,0.16666666666666666,0.3684210526315789
random_forest,ner_jaccard_person + semantic_sim,2,0.1590909090909091,0.3684210526315789
svm,ner_jaccard_person + semantic_sim,2,0.15217391304347827,0.3684210526315789
svm,jaccard_sim + ner_jaccard_person,2,0.15217391304347827,0.3684210526315789
svm,ner_jaccard_person,1,0.15217391304347827,0.3684210526315789
svm,ner_jaccard_org,1,0.15217391304347827,0.3684210526315789
svm,jaccard_sim + ner_jaccard_person + semantic_sim,3,0.15217391304347827,0.3684210526315789
gradient_boosting,ner_jaccard_person,1,0.15217391304347827,0.3684210526315789
random_forest,ner_jaccard_person,1,0.14,0.3684210526315789
logistic_regression,jaccard_sim + semantic_sim,2,0.1346153846153846,0.3684210526315789
logistic_regression,semantic_sim,1,0.1346153846153846,0.3684210526315789
logistic_regression,jaccard_sim,1,0.1346153846153846,0.3684210526315789
